Book 1,Book 2,Book 3,Facet,Selection,Selected Answer Nr.,Agreement,Answers
01,06,09,total,01==06,1,1.0,1
01,06,15,atmosphere,unsure,-1,0.5,2
01,06,15,content,06==15,3,1.0,1
01,06,15,location,01==15,2,1.0,1
01,06,15,plot,06==15,3,1.0,1
01,06,15,time,01==15,2,1.0,1
01,06,15,total,06==15,3,1.0,1
01,06,20,atmosphere,01==20,2,1.0,1
01,06,20,content,01==20,2,1.0,1
01,06,20,location,unsure,-1,0.5,2
01,06,20,plot,unsure,-1,0.5,2
01,06,20,total,01==20,2,1.0,1
01,07,09,atmosphere,07==09,3,1.0,1
01,07,09,content,07==09,3,1.0,1
01,07,09,location,01==07,1,1.0,1
01,07,09,plot,01==07,1,1.0,1
01,07,09,time,01==07,1,1.0,1
01,07,09,total,07==09,3,1.0,1
01,07,14,atmosphere,07==14,3,1.0,1
01,07,14,content,07==14,3,1.0,1
01,07,14,location,07==14,3,1.0,1
01,07,14,plot,01==07,1,1.0,1
01,07,14,time,07==14,3,1.0,1
01,07,14,total,07==14,3,1.0,1
01,07,20,atmosphere,01==07,1,1.0,1
01,07,20,content,01==20,2,1.0,1
01,07,20,location,01==20,2,1.0,1
01,07,20,plot,01==07,1,1.0,1
01,07,20,time,01==07,1,1.0,1
01,07,20,total,01==07,1,1.0,1
01,09,14,atmosphere,09==14,3,1.0,1
01,09,14,content,09==14,3,1.0,1
01,09,14,location,09==14,3,1.0,1
01,09,14,plot,01==09,1,1.0,1
01,09,14,total,09==14,3,1.0,1
01,09,15,atmosphere,01==09,1,1.0,1
01,09,15,total,01==15,2,1.0,1
01,09,20,atmosphere,01==20,2,1.0,1
01,09,20,content,01==20,2,1.0,1
01,09,20,location,01==20,2,1.0,1
01,09,20,plot,01==20,2,1.0,1
01,09,20,total,01==20,2,1.0,1
01,14,20,atmosphere,01==20,2,1.0,1
01,14,20,total,01==20,2,1.0,1
02,05,09,atmosphere,05==09,3,1.0,1
02,05,09,content,05==09,3,1.0,1
02,05,09,location,05==09,3,1.0,1
02,05,09,plot,05==09,3,1.0,1
02,05,09,time,02==05,1,1.0,1
02,05,09,total,05==09,3,1.0,1
02,05,11,atmosphere,02==11,2,1.0,1
02,05,11,content,05==11,3,1.0,1
02,05,11,location,02==11,2,1.0,1
02,05,11,plot,05==11,3,1.0,1
02,05,11,time,05==11,3,1.0,1
02,05,11,total,05==11,3,1.0,1
02,05,13,atmosphere,02==13,2,1.0,1
02,05,13,content,02==13,2,1.0,1
02,05,13,location,02==13,2,1.0,1
02,05,13,plot,02==13,2,1.0,1
02,05,13,total,02==13,2,1.0,1
02,05,16,atmosphere,02==16,2,1.0,1
02,05,16,total,05==16,3,1.0,1
02,05,19,atmosphere,02==05,1,1.0,1
02,05,19,content,02==05,1,1.0,1
02,05,19,location,05==19,3,1.0,1
02,05,19,plot,05==19,3,1.0,1
02,05,19,time,02==19,2,1.0,1
02,05,19,total,05==19,3,1.0,1
03,08,10,atmosphere,03==10,2,1.0,1
03,08,10,content,08==10,3,1.0,1
03,08,10,location,08==10,3,1.0,1
03,08,10,plot,08==10,3,1.0,1
03,08,10,time,08==10,3,1.0,1
03,08,10,total,08==10,3,1.0,1
03,08,12,atmosphere,03==12,2,1.0,1
03,08,12,total,03==12,2,1.0,1
03,08,16,atmosphere,03==08,1,1.0,1
03,08,16,content,03==08,1,1.0,1
03,08,16,location,03==08,1,1.0,1
03,08,16,plot,03==08,1,1.0,1
03,08,16,time,03==08,1,1.0,1
03,08,16,total,03==08,1,1.0,1
03,08,19,atmosphere,08==19,3,1.0,1
03,08,19,content,08==19,3,1.0,1
03,08,19,location,08==19,3,1.0,1
03,08,19,plot,08==19,3,1.0,1
03,08,19,time,08==19,3,1.0,1
03,08,19,total,08==19,3,1.0,1
03,10,12,atmosphere,03==12,2,1.0,1
03,10,12,content,03==12,2,1.0,1
03,10,12,location,03==12,2,1.0,1
03,10,12,plot,03==12,2,1.0,1
03,10,12,time,03==12,2,1.0,1
03,10,12,total,03==12,2,1.0,1
03,10,17,atmosphere,unsure,-1,0.5,2
03,10,17,content,unsure,-1,0.5,2
03,10,17,location,unsure,-1,0.5,2
03,10,17,plot,unsure,-1,0.5,2
03,10,17,time,unsure,-1,0.5,2
03,10,17,total,unsure,-1,0.5,2
03,10,19,atmosphere,10==19,3,1.0,1
03,10,19,content,10==19,3,1.0,1
03,10,19,location,10==19,3,1.0,1
03,10,19,plot,10==19,3,1.0,1
03,10,19,time,10==19,3,1.0,1
03,10,19,total,10==19,3,1.0,1
03,10,20,atmosphere,03==20,2,1.0,1
03,10,20,content,03==20,2,1.0,1
03,10,20,location,03==20,2,0.75,4
03,10,20,plot,03==20,2,1.0,1
03,10,20,time,03==10,1,1.0,1
03,10,20,total,03==20,2,1.0,1
03,12,16,atmosphere,03==12,1,1.0,1
03,12,16,content,03==12,1,1.0,1
03,12,16,location,03==12,1,1.0,1
03,12,16,plot,unsure,-1,0.5,2
03,12,16,time,03==12,1,1.0,1
03,12,16,total,03==12,1,1.0,1
03,12,17,atmosphere,03==12,1,1.0,1
03,12,17,content,03==12,1,1.0,1
03,12,17,location,03==12,1,1.0,1
03,12,17,plot,03==12,1,1.0,1
03,12,17,time,03==12,1,1.0,1
03,12,17,total,03==12,1,1.0,1
03,12,19,atmosphere,03==12,1,1.0,1
03,12,19,total,03==12,1,1.0,1
03,12,20,atmosphere,03==12,1,1.0,1
03,12,20,content,03==12,1,1.0,1
03,12,20,location,03==12,1,1.0,1
03,12,20,plot,03==12,1,0.6666666666666666,3
03,12,20,time,03==12,1,1.0,1
03,12,20,total,03==12,1,1.0,1
03,16,17,atmosphere,16==17,3,1.0,1
03,16,17,content,16==17,3,1.0,1
03,16,17,location,16==17,3,1.0,1
03,16,17,plot,03==16,1,1.0,1
03,16,17,total,unsure,-1,0.5,2
03,16,19,atmosphere,16==19,3,1.0,1
03,16,19,total,03==16,1,1.0,1
03,16,20,atmosphere,16==20,3,1.0,1
03,16,20,content,16==20,3,1.0,1
03,16,20,location,16==20,3,1.0,1
03,16,20,plot,03==20,2,1.0,1
03,16,20,time,03==16,1,1.0,1
03,16,20,total,03==20,2,1.0,1
03,17,20,atmosphere,03==20,2,1.0,1
03,17,20,content,17==20,3,1.0,1
03,17,20,location,17==20,3,1.0,1
03,17,20,plot,03==20,2,1.0,1
03,17,20,total,03==20,2,1.0,1
03,19,20,atmosphere,03==20,2,1.0,1
03,19,20,total,03==20,2,1.0,1
04,05,06,atmosphere,unsure,-1,0.5,2
04,05,06,content,unsure,-1,0.5,2
04,05,06,location,unsure,-1,0.5,2
04,05,06,plot,unsure,-1,0.5,2
04,05,06,time,unsure,-1,0.5,2
04,05,06,total,unsure,-1,0.5,2
04,05,07,atmosphere,05==07,3,1.0,1
04,05,07,content,05==07,3,0.9166666666666666,12
04,05,07,location,05==07,3,0.75,12
04,05,07,plot,05==07,3,0.9166666666666666,12
04,05,07,time,05==07,3,0.9090909090909091,11
04,05,07,total,05==07,3,0.8571428571428571,14
04,05,09,atmosphere,05==09,3,0.6153846153846154,13
04,05,09,content,05==09,3,0.6666666666666666,12
04,05,09,location,05==09,3,0.4166666666666667,12
04,05,09,plot,05==09,3,0.5,12
04,05,09,time,04==05,1,0.5,6
04,05,09,total,05==09,3,0.46153846153846156,13
04,05,11,atmosphere,04==05,1,0.42857142857142855,7
04,05,11,content,04==05,1,0.6666666666666666,6
04,05,11,location,05==11,3,0.5,6
04,05,11,plot,unsure,-1,0.3333333333333333,6
04,05,11,time,05==11,3,1.0,1
04,05,11,total,unsure,-1,0.42857142857142855,7
04,05,14,atmosphere,05==14,3,1.0,1
04,05,14,content,05==14,3,0.6666666666666666,3
04,05,14,location,05==14,3,0.6666666666666666,3
04,05,14,plot,unsure,-1,0.3333333333333333,3
04,05,14,total,05==14,3,0.8333333333333334,6
04,05,15,atmosphere,04==15,2,1.0,1
04,05,15,total,04==15,2,1.0,1
04,05,17,atmosphere,05==17,3,0.6666666666666666,6
04,05,17,content,04==05,1,1.0,1
04,05,17,location,05==17,3,1.0,1
04,05,17,plot,04==17,2,1.0,1
04,05,17,time,04==17,2,1.0,1
04,05,17,total,05==17,3,0.5,6
04,06,09,atmosphere,04==09,2,1.0,1
04,06,09,content,04==09,2,1.0,1
04,06,09,location,06==09,3,0.6666666666666666,3
04,06,09,plot,04==09,2,0.6666666666666666,3
04,06,09,time,unsure,-1,0.5,2
04,06,09,total,04==09,2,1.0,1
04,06,11,atmosphere,04==11,2,0.5,4
04,06,11,content,04==06,1,1.0,1
04,06,11,location,06==11,3,1.0,1
04,06,11,plot,04==11,2,0.75,4
04,06,11,time,unsure,-1,0.5,2
04,06,11,total,04==11,2,0.5,4
04,06,14,atmosphere,unsure,-1,0.5,2
04,06,14,content,unsure,-1,0.5,2
04,06,14,location,unsure,-1,0.5,2
04,06,14,plot,unsure,-1,0.5,2
04,06,14,time,06==14,3,1.0,1
04,06,14,total,unsure,-1,0.5,2
04,06,15,atmosphere,06==15,3,0.6666666666666666,3
04,06,15,content,06==15,3,1.0,1
04,06,15,location,06==15,3,1.0,1
04,06,15,plot,06==15,3,0.6666666666666666,3
04,06,15,time,unsure,-1,0.5,2
04,06,15,total,06==15,3,1.0,1
04,07,09,atmosphere,07==09,3,0.75,4
04,07,09,content,04==09,2,1.0,1
04,07,09,location,unsure,-1,0.5,2
04,07,09,plot,04==09,2,1.0,1
04,07,09,time,unsure,-1,0.5,2
04,07,09,total,07==09,3,0.75,4
04,07,11,atmosphere,07==11,3,0.6666666666666666,3
04,07,11,content,unsure,-1,0.3333333333333333,3
04,07,11,location,07==11,3,0.6666666666666666,3
04,07,11,plot,07==11,3,0.6666666666666666,3
04,07,11,time,07==11,3,1.0,1
04,07,11,total,07==11,3,0.6666666666666666,3
04,07,14,atmosphere,07==14,3,1.0,1
04,07,14,content,07==14,3,1.0,1
04,07,14,location,04==14,2,1.0,1
04,07,14,plot,07==14,3,1.0,1
04,07,14,time,04==14,2,1.0,1
04,07,14,total,07==14,3,1.0,1
04,07,15,atmosphere,04==15,2,1.0,1
04,07,15,content,04==15,2,0.6666666666666666,3
04,07,15,location,04==15,2,0.6666666666666666,3
04,07,15,plot,04==15,2,1.0,1
04,07,15,time,04==15,2,1.0,1
04,07,15,total,04==15,2,1.0,1
04,07,17,atmosphere,unsure,-1,0.5,4
04,07,17,content,07==17,3,0.6666666666666666,3
04,07,17,location,04==07,1,0.6666666666666666,3
04,07,17,plot,07==17,3,0.6666666666666666,3
04,07,17,time,unsure,-1,0.3333333333333333,3
04,07,17,total,07==17,3,1.0,1
04,09,11,atmosphere,04==09,1,0.625,8
04,09,11,content,04==09,1,0.75,8
04,09,11,location,09==11,3,0.625,8
04,09,11,plot,04==09,1,0.5,8
04,09,11,time,09==11,3,0.5714285714285714,7
04,09,11,total,04==09,1,1.0,1
04,09,14,atmosphere,09==14,3,0.5714285714285714,7
04,09,14,content,unsure,-1,0.5,6
04,09,14,location,09==14,3,0.5,6
04,09,14,plot,09==14,3,0.6666666666666666,6
04,09,14,time,04==14,2,0.75,4
04,09,14,total,09==14,3,0.5714285714285714,7
04,09,15,atmosphere,04==09,1,1.0,1
04,09,15,content,unsure,-1,0.5,2
04,09,15,location,unsure,-1,0.5,2
04,09,15,plot,unsure,-1,0.5,2
04,09,15,time,04==15,2,1.0,1
04,09,15,total,04==09,1,1.0,1
04,09,17,atmosphere,09==17,3,0.6,5
04,09,17,content,04==09,1,0.6666666666666666,3
04,09,17,location,04==09,1,0.6666666666666666,3
04,09,17,plot,unsure,-1,0.3333333333333333,3
04,09,17,time,unsure,-1,0.5,2
04,09,17,total,unsure,-1,0.4,5
04,11,14,atmosphere,unsure,-1,0.5,2
04,11,14,content,04==14,2,1.0,1
04,11,14,location,04==11,1,1.0,1
04,11,14,plot,04==11,1,1.0,1
04,11,14,total,unsure,-1,0.5,2
04,11,15,atmosphere,unsure,-1,0.5,2
04,11,15,content,04==11,1,1.0,1
04,11,15,location,11==15,3,1.0,1
04,11,15,plot,04==15,2,1.0,1
04,11,15,time,11==15,3,1.0,1
04,11,15,total,04==15,2,1.0,1
04,11,17,atmosphere,04==17,2,0.5,4
04,11,17,content,11==17,3,0.6666666666666666,3
04,11,17,location,04==11,1,0.6666666666666666,3
04,11,17,plot,unsure,-1,0.3333333333333333,3
04,11,17,total,04==11,1,0.75,4
04,14,15,atmosphere,04==15,2,1.0,1
04,14,15,content,unsure,-1,0.5,2
04,14,15,location,unsure,-1,0.5,2
04,14,15,plot,04==15,2,1.0,1
04,14,15,time,unsure,-1,0.5,2
04,14,15,total,04==15,2,1.0,1
04,14,17,atmosphere,04==14,1,1.0,1
04,14,17,content,04==14,1,1.0,1
04,14,17,location,14==17,3,1.0,1
04,14,17,plot,04==17,2,1.0,1
04,14,17,time,14==17,3,1.0,1
04,14,17,total,14==17,3,1.0,1
04,15,17,atmosphere,04==15,1,1.0,1
04,15,17,content,unsure,-1,0.5,2
04,15,17,location,04==15,1,1.0,1
04,15,17,plot,04==15,1,1.0,1
04,15,17,time,04==15,1,1.0,1
04,15,17,total,04==15,1,1.0,1
05,07,09,atmosphere,05==07,1,1.0,1
05,07,09,content,05==07,1,0.6666666666666666,3
05,07,09,location,05==07,1,0.6666666666666666,3
05,07,09,plot,unsure,-1,0.3333333333333333,3
05,07,09,time,unsure,-1,0.5,2
05,07,09,total,05==07,1,1.0,1
05,07,11,atmosphere,05==07,1,1.0,1
05,07,11,content,05==07,1,1.0,1
05,07,11,location,05==07,1,1.0,1
05,07,11,plot,05==07,1,1.0,1
05,07,11,time,05==11,2,1.0,1
05,07,11,total,05==07,1,1.0,1
05,07,16,atmosphere,05==07,1,1.0,1
05,07,16,content,05==07,1,1.0,1
05,07,16,location,05==07,1,1.0,1
05,07,16,plot,05==07,1,1.0,1
05,07,16,time,07==16,3,1.0,1
05,07,16,total,05==07,1,1.0,1
05,09,11,atmosphere,unsure,-1,0.5,2
05,09,11,content,05==09,1,1.0,1
05,09,11,location,05==11,2,1.0,1
05,09,11,plot,skip,-1,1.0,1
05,09,11,time,05==11,2,1.0,1
05,09,11,total,05==09,1,1.0,1
05,09,12,atmosphere,unsure,-1,0.5,2
05,09,12,content,05==09,1,1.0,1
05,09,12,location,05==09,1,1.0,1
05,09,12,plot,05==09,1,1.0,1
05,09,12,time,05==12,2,1.0,1
05,09,12,total,unsure,-1,0.5,2
05,09,16,atmosphere,09==16,3,1.0,1
05,09,16,content,09==16,3,1.0,1
05,09,16,location,05==09,1,1.0,1
05,09,16,plot,05==16,2,1.0,1
05,09,16,time,05==09,1,1.0,1
05,09,16,total,05==16,2,1.0,1
05,11,12,atmosphere,11==12,3,1.0,1
05,11,12,content,11==12,3,1.0,1
05,11,12,location,05==11,1,1.0,1
05,11,12,plot,11==12,3,1.0,1
05,11,12,total,11==12,3,1.0,1
05,11,14,atmosphere,11==14,3,1.0,1
05,11,14,total,05==14,2,1.0,1
05,14,16,atmosphere,unsure,-1,0.5,2
05,14,16,content,05==14,1,1.0,1
05,14,16,location,05==14,1,1.0,1
05,14,16,plot,05==14,1,1.0,1
05,14,16,time,14==16,3,1.0,1
05,14,16,total,unsure,-1,0.5,2
06,10,15,atmosphere,unsure,-1,0.5,2
06,10,15,content,10==15,3,1.0,1
06,10,15,location,06==10,1,1.0,1
06,10,15,plot,06==10,1,1.0,1
06,10,15,time,06==10,1,1.0,1
06,10,15,total,06==10,1,1.0,1
06,10,18,atmosphere,skip,-1,1.0,1
06,10,18,content,06==10,1,1.0,1
06,10,18,location,06==18,2,1.0,1
06,10,18,plot,06==10,1,1.0,1
06,10,18,time,06==10,1,1.0,1
06,10,18,total,06==10,1,1.0,1
06,10,19,atmosphere,06==10,1,0.75,4
06,10,19,content,unsure,-1,0.5,2
06,10,19,location,06==10,1,1.0,1
06,10,19,plot,unsure,-1,0.5,2
06,10,19,total,06==10,1,0.5,4
06,15,19,atmosphere,06==15,1,1.0,1
06,15,19,total,06==15,1,1.0,1
07,09,11,atmosphere,07==11,2,1.0,1
07,09,11,total,07==11,2,1.0,1
07,09,14,atmosphere,unsure,-1,0.5,2
07,09,14,content,09==14,3,1.0,1
07,09,14,location,07==14,2,1.0,1
07,09,14,plot,unsure,-1,0.5,2
07,09,14,time,07==14,2,1.0,1
07,09,14,total,unsure,-1,0.5,2
07,11,17,atmosphere,07==17,2,0.6666666666666666,3
07,11,17,content,07==11,1,1.0,1
07,11,17,location,07==11,1,1.0,1
07,11,17,plot,07==11,1,1.0,1
07,11,17,total,07==17,2,1.0,1
08,10,16,atmosphere,08==10,1,1.0,1
08,10,16,content,08==10,1,1.0,1
08,10,16,location,08==10,1,1.0,1
08,10,16,plot,08==10,1,1.0,1
08,10,16,time,08==10,1,1.0,1
08,10,16,total,08==10,1,1.0,1
08,12,15,atmosphere,12==15,3,1.0,1
08,12,15,content,08==15,2,1.0,1
08,12,15,location,12==15,3,1.0,1
08,12,15,plot,08==15,2,1.0,1
08,12,15,total,08==15,2,1.0,1
08,12,20,atmosphere,08==12,1,1.0,1
08,12,20,content,08==12,1,1.0,1
08,12,20,location,12==20,3,1.0,1
08,12,20,plot,08==12,1,1.0,1
08,12,20,total,12==20,3,1.0,1
08,17,18,atmosphere,17==18,3,1.0,1
08,17,18,total,08==17,1,1.0,1
08,17,20,atmosphere,17==20,3,1.0,1
08,17,20,total,17==20,3,1.0,1
09,14,16,atmosphere,09==16,2,1.0,1
09,14,16,content,09==14,1,1.0,1
09,14,16,location,09==14,1,1.0,1
09,14,16,plot,09==14,1,1.0,1
09,14,16,time,14==16,3,1.0,1
09,14,16,total,09==16,2,1.0,1
10,13,15,atmosphere,10==15,2,1.0,1
10,13,15,content,10==15,2,1.0,1
10,13,15,location,10==15,2,1.0,1
10,13,15,plot,10==15,2,1.0,1
10,13,15,total,10==15,2,1.0,1
10,13,19,atmosphere,10==19,2,1.0,1
10,13,19,content,10==19,2,1.0,1
10,13,19,location,10==19,2,1.0,1
10,13,19,plot,10==19,2,1.0,1
10,13,19,time,10==13,1,1.0,1
10,13,19,total,10==19,2,1.0,1
10,14,15,atmosphere,14==15,3,1.0,1
10,14,15,content,10==15,2,1.0,1
10,14,15,location,14==15,3,1.0,1
10,14,15,plot,14==15,3,1.0,1
10,14,15,time,14==15,3,1.0,1
10,14,15,total,14==15,3,1.0,1
10,14,19,atmosphere,unsure,-1,0.5,2
10,14,19,content,10==19,2,1.0,1
10,14,19,location,10==19,2,1.0,1
10,14,19,plot,14==19,3,1.0,1
10,14,19,time,14==19,3,1.0,1
10,14,19,total,10==19,2,1.0,1
10,15,18,atmosphere,10==15,1,1.0,1
10,15,18,content,10==15,1,1.0,1
10,15,18,location,10==15,1,1.0,1
10,15,18,plot,10==15,1,1.0,1
10,15,18,time,10==15,1,1.0,1
10,15,18,total,10==15,1,1.0,1
11,12,17,atmosphere,12==17,3,1.0,1
11,12,17,content,12==17,3,1.0,1
11,12,17,location,11==17,2,1.0,1
11,12,17,plot,12==17,3,1.0,1
11,12,17,time,11==12,1,1.0,1
11,12,17,total,12==17,3,1.0,1
11,12,20,atmosphere,12==20,3,0.6666666666666666,3
11,12,20,content,11==12,1,1.0,1
11,12,20,location,unsure,-1,0.5,2
11,12,20,plot,12==20,3,1.0,1
11,12,20,time,11==12,1,1.0,1
11,12,20,total,12==20,3,0.6666666666666666,3
11,13,17,atmosphere,13==17,3,1.0,1
11,13,17,content,11==13,1,1.0,1
11,13,17,location,13==17,3,1.0,1
11,13,17,plot,13==17,3,1.0,1
11,13,17,time,13==17,3,1.0,1
11,13,17,total,13==17,3,1.0,1
11,13,20,atmosphere,13==20,3,1.0,1
11,13,20,content,13==20,3,1.0,1
11,13,20,location,13==20,3,1.0,1
11,13,20,plot,13==20,3,1.0,1
11,13,20,time,13==20,3,1.0,1
11,13,20,total,13==20,3,1.0,1
11,17,20,atmosphere,17==20,3,1.0,1
11,17,20,content,17==20,3,1.0,1
11,17,20,location,17==20,3,1.0,1
11,17,20,plot,17==20,3,1.0,1
11,17,20,total,17==20,3,1.0,1
18,19,20,atmosphere,19==20,3,1.0,1
18,19,20,content,19==20,3,1.0,1
18,19,20,location,18==19,1,1.0,1
18,19,20,plot,19==20,3,1.0,1
18,19,20,time,18==20,2,1.0,1
18,19,20,total,19==20,3,1.0,1
